QueryText,KccAns
PADDY STEM BORER,RECOMMENDED TO APPLY CARTAP HYDROCHLORIDE  4G  GRANULES  8-10 KG / ACRE
BANANA NUTRIENT DEFICIENCY MANAGEMENT,BANANA NUTRIENT DEFICIENCY MANAGEMENT : RECOMMENDED TO SPRAY 19-19-19 KG/ACRE
weather report,No rain your area cloudy weather occur
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
DRY CHILLI MARKET INFORMATION,"DRY CHILLI MARKET INFORMATION : GUNTUR
MINIMUM PRICE - 5200/- Rs/ QUINTAL  
MAXIMUM PRICE - 12200/- Rs/ QUINTAL"
GRAM CATERPILLAR MANAGEMEENT,GRAM CATERPILLAR MANAGEMEENT : RECOMMENDED TO SPRAY LAMBDA CYHALOTHRIN 400 ML /200 LITRES OF WATER /  ACRE
ANIMAL NUTRITION,CONTACT NUMBER 8790997453
CHILLY UPWARD CURLING MANAGEMENT,CHILLY UPWARD CURLING MANAGEMENT : RECOMMENDED FOR SPRAY SPINOSAD 75 ML/ ACRE
MIRDGE FLY MANAGEMENT IN CHILLI,MIRDGE FLY MANAGEMENT IN CHILLI :RECOMMENDED TO SPRAY TRIZOPHOS 300 ML/200 LITRES OF WATER
MUSKMELON POWDERY MILDEW MANAGEMENT,MUSKMELON POWDERY MILDEW MANAGEMENT : RECOMMENDED FOR SPRAY DINOCAP 1 ML/ 1 LITER OF WATER
market information in chilli:,"market information in chilli:5000	11200"
saline soil management,saline soil management : apply farm yard manure & flood irrigation most suitable
CHILLI MARKET INFORMATION,"Red New	   5000	  11200	9800 /QUINTAL"
WATER MELON SEED RATE,RECOMMENDED WATER MELON SEED RATE ;  500 TO `600 GR/ACRE
WEATHER REPORT,WEATHER REPORT: no rain your area cloudy weather occur
SUCKING PEST IN CHILLI,RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
FRUIT BORER IN BRINJAL,RECOMMENDED TO SPRAY CHLORANTRANILIPROLE 60 ML/200 LITRES OF WATER / ACRE
weather report,weather report :   today there is no chance of rain fall in your area
WEATHER REPORT,"WEATHER REPORT : CLOUDY WEATHER , CHANCE OF  SHOWERS IN YOUR AREA"
CHILLI SUCKING PESTS,CHILLI SUCKING PESTS:  RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML PER ACRE
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
LEAF SPOT MANAGEMENT,LEAF SPOT MANAGEMENT : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
STEM BORER IN PADDY,RECOMMENDED TO APPLY  PHORATE  10G GRANULES  4 KG PER ACRE
WEED  CONTROL IN BLACK GRAM,RECOMMENDED TO SPRAY IMAZITAPYR 300- 400 ML PER ACRE
TRIPS MANAGEMENT,TRIPS MANAGEMENT : RECOMMENDED TO SPRAY DIMETHOATE  2 ML OR FIPRONIL  2 ML //200 LITRES OF WATER /ACRE
chilli midge fly management:,chilli midge fly management:RECOMMENDED TO SPRAY CARBOSULFAN 400 ML /200 LITRES OF WATER /ACRE
bacterial leaf spot in chillies,RECOMMENDED  TO SPRAY COPPOR OXY CHLORIDE  30 GM   +  STREPTOCYCLIN   1 GM  / 1 0 LIT OF WATER
weather report,today there is no chance of rainfall in your area
weather report,NO RAINS ARE THERE IN YOUR AREA
chili white fly management,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
ORGANIC FARMING  JEEVAMUTRAM,ORGANIC FARMING  JEEVAMUTRAM  ;; 10 KG COW DUNG+10 KG COW URIN +2 KG BENGAL GRAM POWDER
bacterial leaf spot in chillies,RECOMMENDED  TO SPRAY COPPOR OXY CHLORIDE  30 GM   +  STREPTOCYCLIN   1 GM  / 1 0 LIT OF WATER
weather report:,weather report: no rain your area cloudy weather occur
weed management in mango,advised to take up manual weeding
WEATHER INFORMATION,WEATHER INFORMATION : RECOMMENDED TO CONTACT - 0891 2543031
weather report,NO RAINS ARE THERE IN YOUR AREA
WEATHER REPORT,today there is no chance of rainfall in your area
LEAF SPOT MANAGEMENT,LEAF SPOT MANAGEMENT : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
WATERMELON SOWING TIMES,WATERMELON SOWING TIMES - RECOMMENDED TIMES DECEMBER- JANUARY
DRUMSTICK NUTRIENT DEFICIENCY,Recommended to spray formula-4 (AGROMIN MAX) 1KG/ACRE IN 200 LT WATER
weather report,no rain your area cloudy weather occur
CATERPILLAR MANAGEMENT,CATERPILLAR MANAGEMENT : RECOMMENDED TO SPRAY THIODICARB 300 GR 200 LITRES OF WATER / ACRE
WEATHER REPORT,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
Adoni Kapas (Adoni)COTTON MARKET INFORMATION,"Adoni Kapas (Adoni)COTTON MARKET INFORMATION:  
MINIMUM.4398 MAXIMUM.5653 AVERAGE.5286 Rs/Quintal"
WEATHER REPORT,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEED MANAGEMENT GROUND NUT,NOT RECOMMENDED
BLACKGRAM NUTRIENT MANAGEMENT,BLACKGRAM NUTRIENT MANAGEMENT: RECOMMENDED TO SPRAY 19-19-19 5 GRAM PER LITRE WATER
weather report,no rain your area cloudy weather occur
THRIPS MANAGEMENT IN GROUNDNUT,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /ACRE
BLACK GRAM NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 ONE KG PER ACRE
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
leaf minar in moth bean,acephate 1.5gr/lit of water
CHILLI NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 19-19-19 KG/ACRE   IN 200 LITER WATER
GUNTUR DRY CHILLI MARKET RATE,"GUNTUR DRY CHILLI MARKET RATE 5/01/2016
Red	MIN = 5000 MAX = 12100	AVG = 8500 RS / QUINTAL
Red New	      5000       12200	      11200
Red Top	      5200	 12200	       9300
White	      2600	 11800	       4700"
PADDY FERTILIZERS USE,PADDY FERTILIZERS USE;UREA-35 KGS POTASH-15 KGS PER ACRE
weather report:,weather report: no rain your area cloudy weather occur
chilli root rot control,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
MAIZE STEM BORER,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITERS OF WATER / ACRE
Bengal gram caterpillar control,RECOMMENDED FOR SPRAY Profenophos 400 ml / acre
WEATHER INFORMATION,"DRY WEATHER , LESS CHANCE OF RAIN"
chili trips,RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
CHILLY FLOWER DROP,RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITRES OF WATER /ACRE
FERTILIZER MANAGEMENT IN DRUM STICK,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
CHILLI THRIPS,RECOMMENDED TO SPRAY PHOSALONE  400 ML / 200 LITERS OF WATER /ACRE
WHITE FLIES IN CHILLI,"RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE 
RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE  
      RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE"
bengalgram growth fertilizer,bengalgram growth fertilizer: RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 1  KG/ACRE IN 200 LT WATER
LEAF BLIGHT IN SESAME,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
RED GRAM MARKET INFORMATION,RED GRAM MARKET INFORMATION : MINIMUM 3400 - MAXIMUM 4679
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
MITE MANAGEMENT,"MITE MANAGEMENT:
RECOMMENDED TO SPRAY DICOFOL 1 LITER  /200 LITERS OF WATER /ACRE"
LEAF SPOT MANAGEMENT,LEAF SPOT MANAGEMENT: RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
PADDY BLAST MANAGEMENT,RECOMMENDED TO SPRAY TRICYCLAZOLE 120 GRAM / ACRE
POD BORER IN BENGAL GRAM,RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML / 200 LITERS OF WATER / ACRE
CHILLI MIDGE MANAGEMENT,CHILLI MIDGE MANAGEMENT : RECOMMENDED TO SPRAY CARBOSULFAN 400 ML /200 LITRES OF WATER /ACRE
CHILI TRIPS,RECOMMENDED TO SPRAY CHLOFENPYRPHOS   300 ML PER ACRE
management of brinjal shoot and fruit borer,RECOMMENDED TO SPRAY PROFENOFOS 400 ML/200 LITRES OF WATER /  ACRE
management of groundnut tobacco caterpillar,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITRES OF WATER / ACRE
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
stem borer in paddy,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
CHILLI MITES AND WHITE FLY MANAGEMENT,RECOMMENDED TO SPRAY  Spiromesifen  250ML/ACRE IN 200 LT WATER
Sri Venkateswara University CONTACT,Sri Venkateswara University CONTACT : 0877 228 9353
FLOWER DROP MANAGEMENT,FLOWER DROP MANAGEMENT : RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITERS OF WATER /ACRE
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report:,today there is no chance of rainfall in your area
paddy brown spot management,Recommended to spray  Tricyclazole 18 % + Mancozeb 62 % WP 400 GRAM / ACRE IN 200 LT WATER
MEALY BUG MANAGEMENT IN CHILLI,RECOMMENDED TO SPRAY  SPIROMESIFEN  200 ML/200 LITRES OF WATER /ACRE
CHILLY UPWARD CURLING MANAGEMENT,CHILLY UPWARD CURLING MANAGEMENT ; RECOMMENDED FOR SPRAY SPINOSAD 75ML/ 1 ACRE OF WATER
CHILLY DIE BACK MANAGEMENT,CHILLY DIE BACK MANAGEMENT : RECOMMENDED FOR SPRAY PROPICONAZOL 1 ML/ 1 LITER OF WATER
CHILLY NUTRIENT MANAGEMENT,CHILLY NUTRIENT MANAGEMENT : RECOMMENDED FOR SPRAY 13-0-45(POTASSIUM NITRATE) 5 GRAMS/ 1 LITER OF WATER
PADDY RESISTENT VARIETIES,PADDY RESISTENT VARIETIES ;SATHYA (RNR 1446)
weather report:,
MANAGEMENT OF PADDY BROWN SPOT,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500 GRAMS / 200 LITERS OF WATER /ACRE
NUTRIENT MANAGEMENT IN MOSAMBI,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
WILT IN CHILI,RECOMMENDED TO SPRAY PROPICONAZOLE  200 ML PER ACRE
marigold nutrient management,marigold nutrient management: recommended for spray 13-0-45(potassium nitrate) 5 grams/ 1 liter of water
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
paddy weed manageement,RECOMMENDED TO SPRAY CYHALOFOP-P- BUTYL 200-300  ML/200 LITRES OF WATER  PER  ACRE
ROSE POWDERY MILDEW,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
BLACK GRAM POD BORER,recommended to spray emamectin benzoate 100 grams/acre
MANGO NUTRIENT MANAGEMENT,MANGO NUTRIENT MANAGEMENT ; RECOMMENDED TO APPLY UREA AND POTASH
MIDGE MANAGEMENT,MIDGE MANAGEMENT : RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML OR CARBOSULFAN 400 ML  /200 LITERS OF WATER / ACRE
SUCKING PEST MANAGEMENT:,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITERS OF WATER /ACRE
WEATHER REPORT,WEATHER REPORT :   today there is no chance of rain fall in your area
chilly nutrient management,chilly nutrient management : recommended for spray 13-0-45(potassium nitrate) 5 grams/ 1 liter of water
SUCKING PEST MANAGEMENT,RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITERS OF WATER /ACRE
POST EMERGENCE WEED MANAGEMENT IN PADDY,"POST EMERGENCE WEED MANAGEMENT IN PADDY :  
RECOMMENDED TO SPRAY PRETILACHLOR 500 ML PER ACRE"
iron deficiency in chilli,RECOMMENDED TO SPRAY FERROUS SULPHATE 20 GRAMS+ CITRIC ACID 2 GRAMS/1 LITRE OF WATER
WEATHER REPORT,Becoming cloudy
seed treatment in black gram :,seed treatment in black gram :recommended carbandazim 3 grm/kg
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
chilli sucking pest damage,recommended to spray imida chloprid 100 milli liter / acre
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT,WEATHER REPORT :NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
water melon sucking pest management,RECOMMENDED TO FIPRONIL 400 ML/ACRE  IN 200 LITER WATER
PADDY  BLAST MANAGEMENT,RECOMMENDED TO SPRAY AVATHAAR 400-500 GRAM / ACRE
PADDY STEM BORER DAMAGE,RECOMMENDED TO SPRAY CARTAF HYDRO CHLORIDE 400 GRAM /ACRE
chilli root grub control,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
MANAGEMENT OF BLACK GRAM STEM FLY MANAGEMENT,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
WATHEER REPORT,Becoming cloudy
chilli powdery mildew control,RECOMMENDED TO SPRAY DINOCAP(KERATHANE) 400 ML PER ACRE
proper growth in bengal grams,RECOMMENDED TO SPRAY  13-0-45 1 KG/ACRE IN 200 LT WATER
BLACK GRAM LEAF CRINCLE MANAGEMENT,RECOMMENDED TO REMOVE EFFECTED PLANTS & SPRAY  MONOCHROTOPHOS 1.6 MILLI LITER / LITER WATER
weather report,Mostly sunny and pleasant
chilli wilt control,recommended to spray Trifloxystrobin  + tebuconazole (NATIVO) 150 GRAMS/200 liters of water/acre
CITRUS MICRO NUTRIENT DEFICIENCY MANAGEMENT,Recommended to spray formula-4  1 KG/ACRE IN 200 LT WATER
white fly management in chilli,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITERS OF WATER / ACRE
chilli growth management,"chilli growth management :Red New	5000 -	11000/-Rs/qtl"
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,today there is no chance of rain fall in your area
market information of cotton,"market information of cotton : minimum-3850Rs./Quintal	maxmimum-5556Rs./Quintal"
WEATHER REPORT,Plenty of sunshine
BENGALGRAM CATERPILLER CONTROL,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
weather report,weather report : Today there is no chance of rainfall in your area
ground nut leaf hopper,RECOMMENDED TO SPRAY  NOVALURON+INDOXACARB  350 ML / 200 LITERS OF WATER / ACRE
weather report,today there is no chance of rain fall in your area
FERTILIZER USE IN CHILI,RECOMMEND TO APPLY 30KG UREA+15 PATOSH PER ACRE
sucking pests on onion,RECOMMENDED TO SPRAY SPIROMESIFEN  200ML /200 LITRES OF WATER /ACRE
mealy bug in mango,RECOMMENDED TO SPRAY DICHLORVOS  250 ML / 200 LITRES OF WATER /  ACRE
WHITE FLY IN PADDY,RECOMMENDED FOR SPRAY ACEPHATE 300 GR/ACRE IN  200 LT WATER
CHILLY SUCKING PEST MANAGEMENT,CHILLY SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITRES OF WATER / ACRE
management of chilli thrips,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
WEATHER REPORT,today there is no chance of rain fall in your area
PADDY STEM B0RER MANAGEMENT,PADDY STEM B0RER MANAGEMENT : Suggested to spray chlorpyriphos @ 2.5ml/l or cartap hydrochloride @ 2 g/l of water or application of carbofuron 3G granules @ 10 kg/ac or 4G cartaphydrochloride @ 8 kg/acere at the time of panicle initiation stage.
FRUIT BORER IN MANGO,"RECOMMENDED TO SPRAY  CHLORPYRIFOS 1 ML/1 LITERS OF WATER / Acre 
+
RECOMMENDED TO SPRAY AZADIRHACHTIN ( NEEM SEED KERNAL OIL )  3ML /1 LITERS OF WATER /ACRE"
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
MAIZE FERTILIZER MANAGEMENT,"MAIZE FERTILIZER MANAGEMENT : RECOMMENDED FOR APPLY UREA 20KG, MOP 30 KG/ ACRE"
WEATHER REPORT,WEATHER REPORT : Today there is no chance of rainfall in your area
WEATHER  REPORT,WEATHER REPORT: NO RAIN IN YOUR AREA CLOUDY WEATHER OCCUR
BENGAL GRAM TOBACCO CATERPILLAR MANAGEMENT,BENGAL GRAM TOBACCO CATERPILLAR MANAGEMENT : RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  100 GRAMS /200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT,today there is no chance of rain fall in your area
mosambi root rot management,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / LIT OF WATER
WEATHER REPORT,WEATHER REPORT : Today there is no chance of rainfall in your area
weather report,today there is no chance of rainfall in your area
WEATHER REPORT,no rain your area cloudy weather occur
SUCKING PESTS MANAGEMENT IN CHILLI,SUCKING PESTS MANAGEMENT IN CHILLI : RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
sucking pest,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
WEATHER REPORT,today there is no chance of rain fall in your area
MAIZE LEAF SPOT,RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITERS OF WATER /ACRE
WEATHER REPORT,NO RAIN AND CLOUDY WEATHER
WEATHER REPORT,NO AIN YOUR AREA CLOUDY WEATHER OCCUR
MANAGEMENT OF PADDY BLAST,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500  GRAMS / 200 LITRES OF WATER /ACRE
weather information :,Today there is no chance of rainfall in your area
water melon leaf miner management,RECOMMENDED TO USE OXY DEMETON METHYL  400 ML PER ACRE
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
MANAGEMENT OF WATERMELON LEAF SPOT,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITRES OF WATER / ACRE
sucking pest in cucumber,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITERS OF WATER /ACRE
virus in black grams,RECOMMENDED TO SPRAY  FIPRONIL  400 ML / 200 LITRES OF WATER /ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
POWDERY MILDEW IN CHILLI,RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
WEATHER REPORT,NO RAIN AND CLOUDY WEATHER
pob borer,recommended to spray quinolphos 2 ml/lit of water
WEATHER REPORT,NO RAIN AND CLOUDY WEATHER
GROUNDNUT WHITEGRUB,GROUNDNUT WHITEGRUB:  RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 ML/Acre
CUCCUMBER POWDERY MILDEW,CUCCUMBER POWDERY MILDEW: RECOMMENDED TO SPRAY DINOCAP 200 ML PER ACRE
management of paddy blast,RECOMMENDED TO SPRAY TRICYCLAZOL  120 GM /200 LITRES OF WATER / ACRE
MAIZE WEED MANAGEMENT,MAIZE WEED MANAGEMENT: NOT RECOMMENDED
WEATHER REPORT,WEATHER REPORT :   today there is no chance of rain fall in your area
CHILLI DAMPPING OFF,RECOMMENDED  TO DRENCH  COPPOR OXY CHLORIDE  3 GRAMS / LIT OF WATER
WEATHER REPORT,WEATHER REPORT :   today there is no chance of rain fall in your area
weather report:,Partly sunny with a shower or thunderstorm
BLACK GRAM SUCKING PEST MANAGEMENT,BLACK GRAM SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
BENGAL GRAM RUST MANAGEMENT,RECOMMENDED TO SPRAY CARBENDAZIM 2 GRAM / LITER WATER
tomato varieties,"suggested to tomato varieties marutham,PKM 1,ARKAVKAS,ARKASOURAB"
WEATHER REPORT IN BOMMANAHAL,WEATHER REPORT IN BOMMANAHAL: Clouds limiting sunshine
weather report,no rain partly sunny and pleasant
management of chilli thrips,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
maize pod borer,RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML /200 LITRES OF WATER / ACRE
management of groundnut leaf spot,recommended to spray carbandazim+mancozeb 400 grams per acre
weather information,weather information : Today there is no chance of rainfall in your area
PANICLE MITE MANAGEMENT,PANICLE MITE MANAGEMENT : RECOMMENDED TO SPRAY PROFENOFOS 400 ML/200 LITERS OF WATER /  ACRE
sweet corn time of sowing,sweet corn time of sowing : january
paddy root rot management,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITERS OF WATER /ACRE
banana megnicium deficency:,banana megnicium deficency:recommended megnicium sulphate 2
Black gram nutrient management,RECOMMENDED TO SPRAY POTASSIUM NITRATE  1KG/ACRE IN 200 LT WATER
weather report,no rain your area cloudy weather occur
PADDY BPH MANAGEMENT,RECOMMENDED TO SPRAY BUPROFEJIN 330 MILLI LITER / ACRE
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,no rain your area cloudy weather occur
paddy leaf blast management,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500 GRAMS / 150 LITRES OF WATER /ACRE
CHILLI MARKET INFORMATION,"Red Top	9000	10900	/QUINTAL"
black gram rust management,recommended to spray mancozeb 3gm + dinocap 1ml / lit of water
LEAF MINER MANAGEMENT,LEAF MINER MANAGEMENT:RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL EXTRACT)  1 LITER  /200 LITERS OF WATER /ACRE
chilli market information,chilli market information  :14800 - 19200/-Rs/qtl
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
CHILLI LEAF SPOT MANAGEMENT,CHILLI LEAF SPOT MANAGEMENT : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER /ACRE
mango hopper management,recommended to spray imida chloprid   0. 5 milli liter / liter water + carbendazim  2 gram / liter water
WHITE FLY DAMAGE IN BRINJAL,RECOMMENDED TO SPRAY  SPIROMESIFEN  200 ML/200 LITERS OF WATER /ACRE
weather report,no rain your area cloudy weather occur
brinjal shoot borer management,RECOMMENDED TO SPRAY  CHLORPYRIFOS 2.5 ml / liter of water
WEATHER REPORT,NO RAIN AND CLOUDY WEATHER
WEATHER REPORT,today there is no chance of rain fall in your area
CHILLI WHITE FLY MANAGEMENT,RECOMMENDED TO SPRAY THIOMETHOXOME 40 GRAMS PER ACRE
WEATHER REPORT,today there is no chance of rain fall in your area
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,Clear weather
WHITE  FLY IN PADDY,RECOMMENDED TO SPRAY ACEPHATE 300 GR/ACRE IN  200 LT WATER
SHEATH BLIGHT,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500  GRAMS / 200 LITERS OF WATER /ACRE
diplodia gummosis in citrus,RECOMMENDED TO  SPRAY CARBENDIZUM 200GR/ACER
weather report,no rain your area cloudy weather occur
WEATHER INFORMATION,"WEATHER INFORMATION : CLOUDY WEATHER , CHANCE OF SHOWERS  IN YOUR AREA"
YELLOW MOSAIC DISEASE IN BLACK RAM,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
PADDY FERTILIZER MANAGEMENT,PADDY FERTILIZER MANAGEMENT : 1 BAG DAP 32 KG UREA 12 KG POTASH
FLOWER DROP MANAGEMENT,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITER OF WATER
weather report,Today there is no chance of rainfall in your area
weather report,weather report : cloudy & sunny weather
weather report,Today there is no chance of rainfall in your area
weather report,Today there is no chance of rainfall in your area
weather report,weather report : cloudy & sunny weather
weather report,MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA.
water melon tabacco caterpillar management,"RECOMMENDED TO SPRAY  CHLORPYRIFOS 500 ML/200 LITERS OF WATER / Acre  or 
RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  100 GRAMS /200 LITERS OF WATER / ACRE"
WEATHER REPORT,Mostly cloudy with a shower in places
WEATHER INFORMATION,"WEATHER INFORMATION : CLOUDY WEATHER , CHANCE OF SHOWERS  IN YOUR AREA"
WEATHER REPORT,"A passing morning shower; otherwise, clouds giving way to some sun"
weather report,MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA.
CHILLI BACTERIAL LEAF SPOT,recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
WEATHER REPORT,no rain your area cloudy weather occur
SESAME NUTRIENT  MANAGEMENT,RECOMMENDED TO SPRAY 19-19-19 ONE KG PER ACRE
sesamum time of sowing,sesamum time of sowing : december to january
sucking pests on water melon,RECOMMENDED TO SPRAY  FIPRONIL  400 ML / 200 LITRES OF WATER /ACRE
weather report,Today there is no chance of rainfall in your area
WEATHER INFORMATION,"WEATHER INFORMATION : CLOUDY WEATHER , CHANCE OF SHOWERS  IN YOUR AREA"
weather report,no rain your area cloudy weather occur
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
leaf folder in paddy,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
weather report,Today there is no chance of rainfall in your area
crop growth in tomato,spray multi k (13-00-45)1kg /200 LI water per acer
weather report,Today there is no chance of rainfall in your area
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,WEATHER REPORT :   today there is no chance of rain fall in your area
WEATHER REPORT,WEATHER REPORT :   today there is no chance of rain fall in your area
APHID DAMAGE IN BLACK GRAM,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITERS OF WATER /ACRE
LEAF SPOTS IN PADDY,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITERS OF WATER / ACRE
WEED MANAGEMENT IN MAIZE,"RECOMMENDED TO SPRAY 2,4 D  SODIUM SALT 500  GRAMS /200 LITRES OF WATER PER ACRE"
WEATHER REPORT IN NAGASAMUDRAM,WEATHER REPORT IN NAGASAMUDRAM : Pleasant with clouds and sunshine
RED GRAM MARKET INFORMATION,"25/01/2017	Local	4400	4950	/QUINTAL"
